year,state,month,number,date
2008,Acre,April,0,1/1/2008
2009,Acre,April,0,1/1/2009
2010,Acre,April,3,1/1/2010
2011,Acre,April,2,1/1/2011
2012,Acre,April,1,1/1/2012
2013,Acre,April,19,1/1/2013
2014,Acre,April,7,1/1/2014
2015,Acre,April,3,1/1/2015
2016,Acre,April,0,1/1/2016
2017,Acre,April,1,1/1/2017
1998,Acre,April,0,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,1,1/1/2000
2001,Acre,April,0,1/1/2001
2002,Acre,April,0,1/1/2002
2003,Acre,April,6,1/1/2003
2004,Acre,April,7,1/1/2004
2005,Acre,April,2,1/1/2005
2006,Acre,April,8,1/1/2006
2007,Acre,April,1,1/1/2007
2008,Acre,April,0,1/1/2008
2009,Acre,April,3,1/1/2009
2010,Acre,April,9,1/1/2010
2011,Acre,April,3,1/1/2011
2012,Acre,April,3,1/1/2012
2013,Acre,April,4,1/1/2013
2014,Acre,April,1,1/1/2014
2015,Acre,April,2,1/1/2015
2016,Acre,April,21,1/1/2016
2017,Acre,April,10,1/1/2017
1998,Acre,April,3,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,1,1/1/2000
2001,Acre,April,1,1/1/2001
2002,Acre,April,0,1/1/2002
2003,Acre,April,0,1/1/2003
2004,Acre,April,5,1/1/2004
2005,Acre,April,27,1/1/2005
2006,Acre,April,1,1/1/2006
2007,Acre,April,4,1/1/2007
2008,Acre,April,0,1/1/2008
2009,Acre,April,0,1/1/2009
2010,Acre,April,1,1/1/2010
2011,Acre,April,10,1/1/2011
2012,Acre,April,7,1/1/2012
2013,Acre,April,8,1/1/2013
2014,Acre,April,17,1/1/2014
2015,Acre,April,40,1/1/2015
2016,Acre,April,87,1/1/2016
2017,Acre,April,45,1/1/2017
1998,Acre,April,37,1/1/1998
1999,Acre,April,1,1/1/1999
2000,Acre,April,1,1/1/2000
2001,Acre,April,3,1/1/2001
2002,Acre,April,39,1/1/2002
2003,Acre,April,168,1/1/2003
2004,Acre,April,42,1/1/2004
2005,Acre,April,368,1/1/2005
2006,Acre,April,33,1/1/2006
2007,Acre,April,29,1/1/2007
2008,Acre,April,41,1/1/2008
2009,Acre,April,31,1/1/2009
2010,Acre,April,126,1/1/2010
2011,Acre,April,93,1/1/2011
2012,Acre,April,71,1/1/2012
2013,Acre,April,54,1/1/2013
2014,Acre,April,60,1/1/2014
2015,Acre,April,109,1/1/2015
2016,Acre,April,533,1/1/2016
2017,Acre,April,457,1/1/2017
1998,Acre,April,130,1/1/1998
1999,Acre,April,63,1/1/1999
2000,Acre,April,136,1/1/2000
2001,Acre,April,396,1/1/2001
2002,Acre,April,728,1/1/2002
2003,Acre,April,1.976,1/1/2003
2004,Acre,April,645,1/1/2004
2005,Acre,April,4.198,1/1/2005
2006,Acre,April,839,1/1/2006
2007,Acre,April,960,1/1/2007
2008,Acre,April,445,1/1/2008
2009,Acre,April,194,1/1/2009
2010,Acre,April,1.682,1/1/2010
2011,Acre,April,425,1/1/2011
2012,Acre,April,739,1/1/2012
2013,Acre,April,679,1/1/2013
2014,Acre,April,1.1,1/1/2014
2015,Acre,April,1.397,1/1/2015
2016,Acre,April,2.188,1/1/2016
2017,Acre,April,1.493,1/1/2017
1998,Acre,April,509,1/1/1998
1999,Acre,April,209,1/1/1999
2000,Acre,April,265,1/1/2000
2001,Acre,April,290,1/1/2001
2002,Acre,April,1.949,1/1/2002
2003,Acre,April,3.942,1/1/2003
2004,Acre,April,1.978,1/1/2004
2005,Acre,April,4.253,1/1/2005
2006,Acre,April,2.37,1/1/2006
2007,Acre,April,2.08,1/1/2007
2008,Acre,April,1.666,1/1/2008
2009,Acre,April,1.265,1/1/2009
2010,Acre,April,2.531,1/1/2010
2011,Acre,April,1.204,1/1/2011
2012,Acre,April,1.996,1/1/2012
2013,Acre,April,2.136,1/1/2013
2014,Acre,April,2.175,1/1/2014
2015,Acre,April,2.928,1/1/2015
2016,Acre,April,3.586,1/1/2016
2017,Acre,April,3.429,1/1/2017
1998,Acre,April,44,1/1/1998
1999,Acre,April,60,1/1/1999
2000,Acre,April,18,1/1/2000
2001,Acre,April,137,1/1/2001
2002,Acre,April,687,1/1/2002
2003,Acre,April,740,1/1/2003
2004,Acre,April,461,1/1/2004
2005,Acre,April,547,1/1/2005
2006,Acre,April,316,1/1/2006
2007,Acre,April,203,1/1/2007
2008,Acre,April,652,1/1/2008
2009,Acre,April,565,1/1/2009
2010,Acre,April,292,1/1/2010
2011,Acre,April,97,1/1/2011
2012,Acre,April,348,1/1/2012
2013,Acre,April,258,1/1/2013
2014,Acre,April,406,1/1/2014
2015,Acre,April,905,1/1/2015
2016,Acre,April,509,1/1/2016
2017,Acre,April,1.508,1/1/2017
1998,Acre,April,0,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,0,1/1/2000
2001,Acre,April,1,1/1/2001
2002,Acre,April,86,1/1/2002
2003,Acre,April,15,1/1/2003
2004,Acre,April,10,1/1/2004
2005,Acre,April,14,1/1/2005
2006,Acre,April,18,1/1/2006
2007,Acre,April,7,1/1/2007
2008,Acre,April,4,1/1/2008
2009,Acre,April,33,1/1/2009
2010,Acre,April,39,1/1/2010
2011,Acre,April,74,1/1/2011
2012,Acre,April,13,1/1/2012
2013,Acre,April,79,1/1/2013
2014,Acre,April,56,1/1/2014
2015,Acre,April,115,1/1/2015
2016,Acre,April,46,1/1/2016
2017,Acre,April,98,1/1/2017
1998,Acre,April,7,1/1/1998
1999,Acre,April,0,1/1/1999
2000,Acre,April,0,1/1/2000
2001,Acre,April,0,1/1/2001
2002,Acre,April,1,1/1/2002
2003,Acre,April,1,1/1/2003
2004,Acre,April,7,1/1/2004
2005,Acre,April,2,1/1/2005
2006,Acre,April,0,1/1/2006
2007,Acre,April,0,1/1/2007
2008,Acre,April,0,1/1/2008
2009,Acre,April,1,1/1/2009
2010,Acre,April,0,1/1/2010
2011,Acre,April,4,1/1/2011
2012,Acre,April,1,1/1/2012
2013,Acre,April,3,1/1/2013
2014,Acre,April,6,1/1/2014
2015,Acre,April,8,1/1/2015
2016,Acre,April,6,1/1/2016
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,58,1/1/1999
2000,Alagoas,April,11,1/1/2000
2001,Alagoas,April,5,1/1/2001
2002,Alagoas,April,12,1/1/2002
2003,Alagoas,April,150,1/1/2003
2004,Alagoas,April,9,1/1/2004
2005,Alagoas,April,83,1/1/2005
2006,Alagoas,April,29,1/1/2006
2007,Alagoas,April,33,1/1/2007
2008,Alagoas,April,55,1/1/2008
2009,Alagoas,April,104,1/1/2009
2010,Alagoas,April,23,1/1/2010
2011,Alagoas,April,41,1/1/2011
2012,Alagoas,April,36,1/1/2012
2013,Alagoas,April,49,1/1/2013
2014,Alagoas,April,54,1/1/2014
2015,Alagoas,April,81,1/1/2015
2016,Alagoas,April,24,1/1/2016
2017,Alagoas,April,38,1/1/2017
2017,Alagoas,April,38,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,20,1/1/1999
2000,Alagoas,April,16,1/1/2000
2001,Alagoas,April,4,1/1/2001
2002,Alagoas,April,15,1/1/2002
2003,Alagoas,April,33,1/1/2003
2004,Alagoas,April,7,1/1/2004
2005,Alagoas,April,31,1/1/2005
2006,Alagoas,April,14,1/1/2006
2007,Alagoas,April,28,1/1/2007
2008,Alagoas,April,74,1/1/2008
2009,Alagoas,April,32,1/1/2009
2010,Alagoas,April,26,1/1/2010
2011,Alagoas,April,33,1/1/2011
2012,Alagoas,April,41,1/1/2012
2013,Alagoas,April,19,1/1/2013
2014,Alagoas,April,29,1/1/2014
2015,Alagoas,April,46,1/1/2015
2016,Alagoas,April,14,1/1/2016
2017,Alagoas,April,21,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,52,1/1/1999
2000,Alagoas,April,32,1/1/2000
2001,Alagoas,April,0,1/1/2001
2002,Alagoas,April,27,1/1/2002
2003,Alagoas,April,15,1/1/2003
2004,Alagoas,April,16,1/1/2004
2005,Alagoas,April,35,1/1/2005
2006,Alagoas,April,37,1/1/2006
2007,Alagoas,April,7,1/1/2007
2008,Alagoas,April,31,1/1/2008
2009,Alagoas,April,31,1/1/2009
2010,Alagoas,April,70,1/1/2010
2011,Alagoas,April,34,1/1/2011
2012,Alagoas,April,44,1/1/2012
2013,Alagoas,April,31,1/1/2013
2014,Alagoas,April,28,1/1/2014
2015,Alagoas,April,32,1/1/2015
2016,Alagoas,April,9,1/1/2016
2017,Alagoas,April,23,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,4,1/1/1999
2000,Alagoas,April,20,1/1/2000
2001,Alagoas,April,0,1/1/2001
2002,Alagoas,April,6,1/1/2002
2003,Alagoas,April,20,1/1/2003
2004,Alagoas,April,6,1/1/2004
2005,Alagoas,April,1,1/1/2005
2006,Alagoas,April,2,1/1/2006
2007,Alagoas,April,1,1/1/2007
2008,Alagoas,April,18,1/1/2008
2009,Alagoas,April,5,1/1/2009
2010,Alagoas,April,3,1/1/2010
2011,Alagoas,April,17,1/1/2011
2012,Alagoas,April,18,1/1/2012
2013,Alagoas,April,25,1/1/2013
2014,Alagoas,April,16,1/1/2014
2015,Alagoas,April,63,1/1/2015
2016,Alagoas,April,13,1/1/2016
2017,Alagoas,April,7,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,1,1/1/1999
2000,Alagoas,April,1,1/1/2000
2001,Alagoas,April,2,1/1/2001
2002,Alagoas,April,1,1/1/2002
2003,Alagoas,April,1,1/1/2003
2004,Alagoas,April,3,1/1/2004
2005,Alagoas,April,0,1/1/2005
2006,Alagoas,April,0,1/1/2006
2007,Alagoas,April,0,1/1/2007
2008,Alagoas,April,0,1/1/2008
2009,Alagoas,April,0,1/1/2009
2010,Alagoas,April,0,1/1/2010
2011,Alagoas,April,0,1/1/2011
2012,Alagoas,April,21,1/1/2012
2013,Alagoas,April,2,1/1/2013
2014,Alagoas,April,1,1/1/2014
2015,Alagoas,April,18,1/1/2015
2016,Alagoas,April,4,1/1/2016
2017,Alagoas,April,1,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,0,1/1/1999
2000,Alagoas,April,0,1/1/2000
2001,Alagoas,April,2,1/1/2001
2002,Alagoas,April,0,1/1/2002
2003,Alagoas,April,0,1/1/2003
2004,Alagoas,April,0,1/1/2004
2005,Alagoas,April,0,1/1/2005
2006,Alagoas,April,0,1/1/2006
2007,Alagoas,April,0,1/1/2007
2008,Alagoas,April,0,1/1/2008
2009,Alagoas,April,0,1/1/2009
2010,Alagoas,April,0,1/1/2010
2011,Alagoas,April,2,1/1/2011
2012,Alagoas,April,4,1/1/2012
2013,Alagoas,April,1,1/1/2013
2014,Alagoas,April,2,1/1/2014
2015,Alagoas,April,2,1/1/2015
2016,Alagoas,April,5,1/1/2016
2017,Alagoas,April,2,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,0,1/1/1999
2000,Alagoas,April,0,1/1/2000
2001,Alagoas,April,0,1/1/2001
2002,Alagoas,April,5,1/1/2002
2003,Alagoas,April,0,1/1/2003
2004,Alagoas,April,0,1/1/2004
2005,Alagoas,April,0,1/1/2005
2006,Alagoas,April,0,1/1/2006
2007,Alagoas,April,0,1/1/2007
2008,Alagoas,April,0,1/1/2008
2009,Alagoas,April,0,1/1/2009
2010,Alagoas,April,2,1/1/2010
2011,Alagoas,April,0,1/1/2011
2012,Alagoas,April,0,1/1/2012
2013,Alagoas,April,0,1/1/2013
2014,Alagoas,April,1,1/1/2014
2015,Alagoas,April,0,1/1/2015
2016,Alagoas,April,3,1/1/2016
2017,Alagoas,April,0,1/1/2017
1998,Alagoas,April,1,1/1/1998
1999,Alagoas,April,3,1/1/1999
2000,Alagoas,April,4,1/1/2000
2001,Alagoas,April,1,1/1/2001
2002,Alagoas,April,3,1/1/2002
2003,Alagoas,April,2,1/1/2003
2004,Alagoas,April,2,1/1/2004
2005,Alagoas,April,2,1/1/2005
2006,Alagoas,April,1,1/1/2006
2007,Alagoas,April,3,1/1/2007
2008,Alagoas,April,1,1/1/2008
2009,Alagoas,April,0,1/1/2009
2010,Alagoas,April,1,1/1/2010
2011,Alagoas,April,4,1/1/2011
2012,Alagoas,April,0,1/1/2012
2013,Alagoas,April,0,1/1/2013
2014,Alagoas,April,3,1/1/2014
2015,Alagoas,April,3,1/1/2015
2016,Alagoas,April,5,1/1/2016
2017,Alagoas,April,1,1/1/2017
1998,Alagoas,April,14,1/1/1998
1999,Alagoas,April,3,1/1/1999
2000,Alagoas,April,22,1/1/2000
2001,Alagoas,April,5,1/1/2001
2002,Alagoas,April,14,1/1/2002
2003,Alagoas,April,8,1/1/2003
2004,Alagoas,April,5,1/1/2004
2005,Alagoas,April,7,1/1/2005
2006,Alagoas,April,4,1/1/2006
2007,Alagoas,April,2,1/1/2007
2008,Alagoas,April,9,1/1/2008
2009,Alagoas,April,13,1/1/2009
2010,Alagoas,April,5,1/1/2010
2011,Alagoas,April,5,1/1/2011
2012,Alagoas,April,6,1/1/2012
2013,Alagoas,April,4,1/1/2013
2014,Alagoas,April,11,1/1/2014
2015,Alagoas,April,7,1/1/2015
2016,Alagoas,April,18,1/1/2016
2017,Alagoas,April,4,1/1/2017
1998,Alagoas,April,20,1/1/1998
1999,Alagoas,April,4,1/1/1999
2000,Alagoas,April,13,1/1/2000
2001,Alagoas,April,15,1/1/2001
2002,Alagoas,April,30,1/1/2002
2003,Alagoas,April,10,1/1/2003
2004,Alagoas,April,12,1/1/2004
2005,Alagoas,April,17,1/1/2005
2006,Alagoas,April,32,1/1/2006
2007,Alagoas,April,6,1/1/2007
2008,Alagoas,April,18,1/1/2008
2009,Alagoas,April,30,1/1/2009
2010,Alagoas,April,16,1/1/2010
2011,Alagoas,April,23,1/1/2011
2012,Alagoas,April,28,1/1/2012
2013,Alagoas,April,25,1/1/2013
2014,Alagoas,April,7,1/1/2014
2015,Alagoas,April,40,1/1/2015
2016,Alagoas,April,74,1/1/2016
2017,Alagoas,April,14,1/1/2017
1998,Alagoas,April,19,1/1/1998
1999,Alagoas,April,15,1/1/1999
2000,Alagoas,April,2,1/1/2000
2001,Alagoas,April,22,1/1/2001
2002,Alagoas,April,50,1/1/2002
2003,Alagoas,April,17,1/1/2003
2004,Alagoas,April,28,1/1/2004
2005,Alagoas,April,25,1/1/2005
2006,Alagoas,April,12,1/1/2006
2007,Alagoas,April,15,1/1/2007
2008,Alagoas,April,37,1/1/2008
2009,Alagoas,April,55,1/1/2009
2010,Alagoas,April,31,1/1/2010
2011,Alagoas,April,23,1/1/2011
2012,Alagoas,April,95,1/1/2012
2013,Alagoas,April,10,1/1/2013
2014,Alagoas,April,14,1/1/2014
2015,Alagoas,April,162,1/1/2015
2016,Alagoas,April,76,1/1/2016
2017,Alagoas,April,10,1/1/2017
1998,Alagoas,April,32,1/1/1998
1999,Alagoas,April,12,1/1/1999
2000,Alagoas,April,2,1/1/2000
2001,Alagoas,April,30,1/1/2001
2002,Alagoas,April,95,1/1/2002
2003,Alagoas,April,43,1/1/2003
2004,Alagoas,April,71,1/1/2004
2005,Alagoas,April,16,1/1/2005
2006,Alagoas,April,30,1/1/2006
2007,Alagoas,April,33,1/1/2007
2008,Alagoas,April,34,1/1/2008
2009,Alagoas,April,55,1/1/2009
2010,Alagoas,April,45,1/1/2010
2011,Alagoas,April,50,1/1/2011
2012,Alagoas,April,59,1/1/2012
2013,Alagoas,April,42,1/1/2013
2014,Alagoas,April,24,1/1/2014
2015,Alagoas,April,136,1/1/2015
2016,Alagoas,April,155,1/1/2016
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,2,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,7,1/1/2002
2003,Amapa,April,31,1/1/2003
2004,Amapa,April,38,1/1/2004
2005,Amapa,April,109,1/1/2005
2006,Amapa,April,6,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,2,1/1/2008
2009,Amapa,April,4,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,0,1/1/2011
2012,Amapa,April,30,1/1/2012
2013,Amapa,April,3,1/1/2013
2014,Amapa,April,10,1/1/2014
2015,Amapa,April,14,1/1/2015
2016,Amapa,April,19,1/1/2016
2017,Amapa,April,2,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,1,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,2,1/1/2002
2003,Amapa,April,0,1/1/2003
2004,Amapa,April,2,1/1/2004
2005,Amapa,April,1,1/1/2005
2006,Amapa,April,2,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,0,1/1/2008
2009,Amapa,April,0,1/1/2009
2010,Amapa,April,0,1/1/2010
2011,Amapa,April,3,1/1/2011
2012,Amapa,April,5,1/1/2012
2013,Amapa,April,0,1/1/2013
2014,Amapa,April,2,1/1/2014
2015,Amapa,April,1,1/1/2015
2016,Amapa,April,1,1/1/2016
2017,Amapa,April,0,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,2,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,0,1/1/2002
2003,Amapa,April,1,1/1/2003
2004,Amapa,April,0,1/1/2004
2005,Amapa,April,0,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,1,1/1/2008
2009,Amapa,April,1,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,0,1/1/2011
2012,Amapa,April,1,1/1/2012
2013,Amapa,April,0,1/1/2013
2014,Amapa,April,1,1/1/2014
2015,Amapa,April,2,1/1/2015
2016,Amapa,April,5,1/1/2016
2017,Amapa,April,0,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,0,1/1/2002
2003,Amapa,April,2,1/1/2003
2004,Amapa,April,0,1/1/2004
2005,Amapa,April,0,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,2,1/1/2008
2009,Amapa,April,0,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,0,1/1/2011
2012,Amapa,April,2,1/1/2012
2013,Amapa,April,2,1/1/2013
2014,Amapa,April,0,1/1/2014
2015,Amapa,April,0,1/1/2015
2016,Amapa,April,0,1/1/2016
2017,Amapa,April,3,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,3,1/1/2002
2003,Amapa,April,0,1/1/2003
2004,Amapa,April,0,1/1/2004
2005,Amapa,April,0,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,0,1/1/2008
2009,Amapa,April,2,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,2,1/1/2011
2012,Amapa,April,2,1/1/2012
2013,Amapa,April,0,1/1/2013
2014,Amapa,April,0,1/1/2014
2015,Amapa,April,0,1/1/2015
2016,Amapa,April,1,1/1/2016
2017,Amapa,April,1,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,2,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,0,1/1/2002
2003,Amapa,April,0,1/1/2003
2004,Amapa,April,5,1/1/2004
2005,Amapa,April,2,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,0,1/1/2008
2009,Amapa,April,1,1/1/2009
2010,Amapa,April,0,1/1/2010
2011,Amapa,April,0,1/1/2011
2012,Amapa,April,7,1/1/2012
2013,Amapa,April,1,1/1/2013
2014,Amapa,April,0,1/1/2014
2015,Amapa,April,3,1/1/2015
2016,Amapa,April,2,1/1/2016
2017,Amapa,April,2,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,1,1/1/2001
2002,Amapa,April,1,1/1/2002
2003,Amapa,April,0,1/1/2003
2004,Amapa,April,2,1/1/2004
2005,Amapa,April,0,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,0,1/1/2008
2009,Amapa,April,4,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,5,1/1/2011
2012,Amapa,April,3,1/1/2012
2013,Amapa,April,1,1/1/2013
2014,Amapa,April,4,1/1/2014
2015,Amapa,April,5,1/1/2015
2016,Amapa,April,1,1/1/2016
2017,Amapa,April,3,1/1/2017
1998,Amapa,April,1,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,3,1/1/2000
2001,Amapa,April,12,1/1/2001
2002,Amapa,April,18,1/1/2002
2003,Amapa,April,14,1/1/2003
2004,Amapa,April,9,1/1/2004
2005,Amapa,April,4,1/1/2005
2006,Amapa,April,11,1/1/2006
2007,Amapa,April,5,1/1/2007
2008,Amapa,April,4,1/1/2008
2009,Amapa,April,20,1/1/2009
2010,Amapa,April,1,1/1/2010
2011,Amapa,April,16,1/1/2011
2012,Amapa,April,19,1/1/2012
2013,Amapa,April,9,1/1/2013
2014,Amapa,April,18,1/1/2014
2015,Amapa,April,40,1/1/2015
2016,Amapa,April,37,1/1/2016
2017,Amapa,April,33,1/1/2017
1998,Amapa,April,20,1/1/1998
1999,Amapa,April,4,1/1/1999
2000,Amapa,April,19,1/1/2000
2001,Amapa,April,95,1/1/2001
2002,Amapa,April,73,1/1/2002
2003,Amapa,April,88,1/1/2003
2004,Amapa,April,67,1/1/2004
2005,Amapa,April,97,1/1/2005
2006,Amapa,April,112,1/1/2006
2007,Amapa,April,61,1/1/2007
2008,Amapa,April,83,1/1/2008
2009,Amapa,April,188,1/1/2009
2010,Amapa,April,63,1/1/2010
2011,Amapa,April,128,1/1/2011
2012,Amapa,April,168,1/1/2012
2013,Amapa,April,85,1/1/2013
2014,Amapa,April,137,1/1/2014
2015,Amapa,April,192,1/1/2015
2016,Amapa,April,142,1/1/2016
2017,Amapa,April,95,1/1/2017
1998,Amapa,April,42,1/1/1998
1999,Amapa,April,25,1/1/1999
2000,Amapa,April,42,1/1/2000
2001,Amapa,April,194,1/1/2001
2002,Amapa,April,557,1/1/2002
2003,Amapa,April,355,1/1/2003
2004,Amapa,April,412,1/1/2004
2005,Amapa,April,335,1/1/2005
2006,Amapa,April,405,1/1/2006
2007,Amapa,April,162,1/1/2007
2008,Amapa,April,395,1/1/2008
2009,Amapa,April,765,1/1/2009
2010,Amapa,April,265,1/1/2010
2011,Amapa,April,304,1/1/2011
2012,Amapa,April,475,1/1/2012
2013,Amapa,April,385,1/1/2013
2014,Amapa,April,480,1/1/2014
2015,Amapa,April,827,1/1/2015
2016,Amapa,April,793,1/1/2016
2017,Amapa,April,468,1/1/2017
1998,Amapa,April,131,1/1/1998
1999,Amapa,April,26,1/1/1999
2000,Amapa,April,157,1/1/2000
2001,Amapa,April,406,1/1/2001
2002,Amapa,April,1.096,1/1/2002
2003,Amapa,April,750,1/1/2003
2004,Amapa,April,949,1/1/2004
2005,Amapa,April,685,1/1/2005
2006,Amapa,April,207,1/1/2006
2007,Amapa,April,198,1/1/2007
2008,Amapa,April,266,1/1/2008
2009,Amapa,April,1.019,1/1/2009
2010,Amapa,April,339,1/1/2010
2011,Amapa,April,282,1/1/2011
2012,Amapa,April,969,1/1/2012
2013,Amapa,April,341,1/1/2013
2014,Amapa,April,484,1/1/2014
2015,Amapa,April,1.3,1/1/2015
2016,Amapa,April,1.161,1/1/2016
2017,Amapa,April,858,1/1/2017
1998,Amapa,April,84,1/1/1998
1999,Amapa,April,41,1/1/1999
2000,Amapa,April,30,1/1/2000
2001,Amapa,April,593,1/1/2001
2002,Amapa,April,200,1/1/2002
2003,Amapa,April,411,1/1/2003
2004,Amapa,April,777,1/1/2004
2005,Amapa,April,38,1/1/2005
2006,Amapa,April,74,1/1/2006
2007,Amapa,April,14,1/1/2007
2008,Amapa,April,32,1/1/2008
2009,Amapa,April,123,1/1/2009
2010,Amapa,April,43,1/1/2010
2011,Amapa,April,360,1/1/2011
2012,Amapa,April,422,1/1/2012
2013,Amapa,April,148,1/1/2013
2014,Amapa,April,354,1/1/2014
2015,Amapa,April,269,1/1/2015
2016,Amapa,April,491,1/1/2016
1998,Amazonas,April,0,1/1/1998
1999,Amazonas,April,3,1/1/1999
2000,Amazonas,April,7,1/1/2000
2001,Amazonas,April,3,1/1/2001
2002,Amazonas,April,17,1/1/2002
2003,Amazonas,April,158,1/1/2003
2004,Amazonas,April,123,1/1/2004
2005,Amazonas,April,44,1/1/2005
2006,Amazonas,April,20,1/1/2006
2007,Amazonas,April,37,1/1/2007
2008,Amazonas,April,16,1/1/2008
2009,Amazonas,April,9,1/1/2009
2010,Amazonas,April,82,1/1/2010
2011,Amazonas,April,53,1/1/2011
